1,garnered,1
2,profitable,1
3,benefit,1
4,better,1
5,opportunity,1
6,forward,1
7,low-cost,1
8,launch,1
9,lend,1
10,increase,1
11,added,1
12,affordable,1
13,lends,1
14,help,1
15,best,1
16,achieve,1
17,rose,1
18,raised,1
19,launched,1
20,appraisal,1
21,cheaper,1
22,grow,1
23,new,1
24,introduced,1
25,introduce,1
26,helping,1
27,offer,1
28,burden,1
29,encouraging,1
30,helped,1
31,novel,1
32,good,1
33,yeilding,1
34,up,1
35,rising,1
36,build,1
37,reward,1
38,boost,1
39,risen,1
40,attract,1
41,soar,1
42,soared,1
43,bought,1
44,appreciation,1
45,pleased,1
46,agreement,1
47,senti,1
48,leading,1
49,impetus,1
50,foster,1
51,leader,1
52,dependable,1
53,green,1
54,inflow,1
55,wins,1
56,bull,1
57,bullish,1
58,faith,1
59,liquid,1
60,liquidity,1
61,upside,1
62,proactive,1
63,well,1
64,safer,1
65,safe,1
66,right,1
67,overweight,1
68,growing,1
69,innovate,1
70,easier,1
71,excite,1
72,delight,1
73,confidence,1
74,innovative,1
75,constructive,1
76,attractive,1
77,successful,1
78,efficient,1
79,effective,1
80,renewed,1
81,milestone,1
82,developing,1
83,growth,1
84,win,1
85,development,1
86,largely,1
87,booming,1
88,boom,1
89,grown,1
90,effort,1
91,soaring,1
92,top,1
93,gainer,1
94,gaining,1
95,opportunities,1
96,loved,1
97,vision,1
98,improving,1
99,efficiency,1
100,overtaken,1
101,feat,1
102,superior,1
103,fruit,1
104,fruitful,1
105,expansion,1
106,builds,1
107,solutions,1
108,strong,1
109,embark,1
110,confident,1
111,intuitive,1
112,expertise,1
113,smarter,1
114,beneficial,1
115,incremental,1
116,deal,1
117,revenue,1
118,offerings,1
119,hyper,1
120,support,1
121,capabilities,1
122,mature,1
123,flexibility,1
124,bright,1
125,highs,1
126,gains,1
127,high,1
128,jumped,1
129,ahead,1
130,acquired,1
131,acquire,1
132,purchased,1
133,approval,1
134,secure,1
135,secured,1
136,heights,1
137,outperformed,1
138,recovery,1
139,boosted,1
140,acquiring,1
141,initiative,1
142,accelerate,1
143,buoyant,1
144,recouped,1
145,spiked,1
146,eased,1
147,advances,1
148,upbeat,1
149,upmove,1
150,surged,1
151,impressive,1
152,benign,1
153,established,1
154,advantage,1
155,progress,1
156,expansions,1
157,generation,1
158,assets,1
159,advantages,1
160,splendid,1
161,improvement,1
162,potential,1
163,recover,1
164,improve,1
165,reliability,1
166,gratification,1
167,helps,1
168,developed,1
169,profit,1
170,grew,1
171,enabling,1
172,regained,1
173,record-setting,1
174,advance,1
175,resilient,1
176,led,1
177,healthy,1
178,rallied,1
179,surpasssed,1
180,win-win,1
181,surpass,1
182,lead,1
183,advanced,1
184,advancing,1
185,regain,1
186,regaining,1
187,enable,1
188,enabled,1
189,develop,1
190,gratify,1
191,gratifying,1
192,gratified,1
193,reliable,1
194,improved,1
195,recovers,1
196,recovered,1
197,recovering,1
198,outperform,1
199,height,1
200,progressing,1
201,progressed,1
202,advantageous,1
203,establish,1
204,establishing,1
205,surge,1
206,upmoved,1
207,upmoving,1
208,upbeating,1
209,ease,1
210,spike,1
211,recoup,1
212,accelerating,1
213,accelerated,1
214,jump,1
215,aquiring,1
216,purchase,1
217,gain,1
218,maturing,1
219,matured,1
220,supported,1
221,supporting,1
222,offering,1
223,increment,1
224,smart,1
225,confidently,1
226,embarked,1
227,embarking,1
228,solution,1
229,overtake,1
230,efficiently,1
231,love,1
232,efforts,1
233,milestones,1
234,renewing,1
235,pleasing,1
236,excited,1
237,proactively,1
238,appreciate,1
239,appreciating,1
240,rewarding,1
241,rewards,1
242,yeild,1
243,encourage,1
244,encouraged,1
245,appraisals,1
246,garner,1
247,profits,1
248,benefits,1
249,increased,1
250,increasing,1
251,add,1
252,afford,1
253,affords,1
254,achieving,1
255,achieved,1
256,demand,1
257,hope,1
258,hopes,1
259,easing,1
260,inflows,1
261,demanding,1
262,demands,1
263,demanded,1
264,hoped,1
265,hoping,1
266,inflowing,1
267,fell,-1
268,breached,-1
269,no,-1
270,sold,-1
271,down,-1
272,not,-1
273,low,-1
274,risk,-1
275,reduce,-1
276,refrained,-1
277,diligence,-1
278,debt,-1
279,deficit,-1
280,against,-1
281,selling,-1
282,bad,-1
283,sell,-1
284,sale,-1
285,pressure,-1
286,dispose,-1
287,unable,-1
288,shed,-1
289,depreciation,-1
290,declining,-1
291,reducing,-1
292,compressed,-1
293,unsecured,-1
294,unsecure,-1
295,expired,-1
296,fall,-1
297,expire,-1
298,lost,-1
299,allegations,-1
300,fraud,-1
301,grapppling,-1
302,hard,-1
303,off,-1
304,ignored,-1
305,insecure,-1
306,scanner,-1
307,insecured,-1
308,surrendered,-1
309,slowdown,-1
310,failed,-1
311,constrained,-1
312,loser,-1
313,choppy,-1
314,slipped,-1
315,declined,-1
316,red,-1
317,dropped,-1
318,outflow,-1
319,retreat,-1
320,falter,-1
321,bear,-1
322,bearish,-1
323,opposing,-1
324,gloom,-1
325,pessimism,-1
326,illiquid,-1
327,underperform,-1
328,underweight,-1
329,frustration,-1
330,wrong,-1
331,losses,-1
332,suffered,-1
333,sluggish,-1
334,brake,-1
335,drop,-1
336,withdrawal,-1
337,dragged,-1
338,lower,-1
339,disturbance,-1
340,reluctant,-1
341,weakness,-1
342,hurt,-1
